,year,month,day,day_of_week,hour,AEP_MW
128,2004,12,26,6,9,16421.0
129,2004,12,26,6,10,16751.0
130,2004,12,26,6,11,16521.0
131,2004,12,26,6,12,16047.0
132,2004,12,26,6,13,15790.0
133,2004,12,26,6,14,15702.0
134,2004,12,26,6,15,15488.0
135,2004,12,26,6,16,15607.0
136,2004,12,26,6,17,16012.0
137,2004,12,26,6,18,17243.0
138,2004,12,26,6,19,17922.0
139,2004,12,26,6,20,18064.0
140,2004,12,26,6,21,18086.0
141,2004,12,26,6,22,17834.0
142,2004,12,26,6,23,17392.0
143,2004,12,27,0,0,16842.0
144,2004,12,25,5,1,16669.0
145,2004,12,25,5,2,16218.0
146,2004,12,25,5,3,16135.0
147,2004,12,25,5,4,16107.0
148,2004,12,25,5,5,16229.0
149,2004,12,25,5,6,16470.0
150,2004,12,25,5,7,16935.0
151,2004,12,25,5,8,17548.0
152,2004,12,25,5,9,17927.0
153,2004,12,25,5,10,17837.0
154,2004,12,25,5,11,17453.0
155,2004,12,25,5,12,16891.0
156,2004,12,25,5,13,15967.0
157,2004,12,25,5,14,15088.0
158,2004,12,25,5,15,14564.0
159,2004,12,25,5,16,14394.0
160,2004,12,25,5,17,14745.0
161,2004,12,25,5,18,15856.0
162,2004,12,25,5,19,16502.0
163,2004,12,25,5,20,16678.0
164,2004,12,25,5,21,16842.0
165,2004,12,25,5,22,16621.0
166,2004,12,25,5,23,16167.0
167,2004,12,26,6,0,15676.0
168,2004,12,24,4,1,15645.0
169,2004,12,24,4,2,15265.0
170,2004,12,24,4,3,15138.0
171,2004,12,24,4,4,15068.0
172,2004,12,24,4,5,15122.0
173,2004,12,24,4,6,15441.0
174,2004,12,24,4,7,15967.0
175,2004,12,24,4,8,16628.0
176,2004,12,24,4,9,17122.0
177,2004,12,24,4,10,17621.0
178,2004,12,24,4,11,17501.0
179,2004,12,24,4,12,17122.0
180,2004,12,24,4,13,16600.0
181,2004,12,24,4,14,16206.0
182,2004,12,24,4,15,15844.0
183,2004,12,24,4,16,15762.0
184,2004,12,24,4,17,16092.0
185,2004,12,24,4,18,17048.0
186,2004,12,24,4,19,17456.0
187,2004,12,24,4,20,17407.0
188,2004,12,24,4,21,17474.0
189,2004,12,24,4,22,17772.0
190,2004,12,24,4,23,17618.0
191,2004,12,25,5,0,17147.0
192,2004,12,23,3,1,15358.0
193,2004,12,23,3,2,14851.0
194,2004,12,23,3,3,14441.0
195,2004,12,23,3,4,14105.0
196,2004,12,23,3,5,14048.0
197,2004,12,23,3,6,14394.0
198,2004,12,23,3,7,15034.0
199,2004,12,23,3,8,15783.0
200,2004,12,23,3,9,16231.0
201,2004,12,23,3,10,16576.0
202,2004,12,23,3,11,16912.0
203,2004,12,23,3,12,16991.0
204,2004,12,23,3,13,16793.0
205,2004,12,23,3,14,16764.0
206,2004,12,23,3,15,16643.0
207,2004,12,23,3,16,16666.0
208,2004,12,23,3,17,16869.0
209,2004,12,23,3,18,17916.0
210,2004,12,23,3,19,18424.0
211,2004,12,23,3,20,18343.0
212,2004,12,23,3,21,18340.0
213,2004,12,23,3,22,18011.0
214,2004,12,23,3,23,17340.0
215,2004,12,24,4,0,16383.0
216,2004,12,22,2,1,15670.0
217,2004,12,22,2,2,15135.0
218,2004,12,22,2,3,14997.0
219,2004,12,22,2,4,14929.0
220,2004,12,22,2,5,15256.0
221,2004,12,22,2,6,16174.0
222,2004,12,22,2,7,17483.0
223,2004,12,22,2,8,18645.0
224,2004,12,22,2,9,18866.0
225,2004,12,22,2,10,18802.0
226,2004,12,22,2,11,18457.0
227,2004,12,22,2,12,18021.0
228,2004,12,22,2,13,17687.0
229,2004,12,22,2,14,17590.0
230,2004,12,22,2,15,17471.0
231,2004,12,22,2,16,17406.0
232,2004,12,22,2,17,17592.0
233,2004,12,22,2,18,18668.0
234,2004,12,22,2,19,19040.0
235,2004,12,22,2,20,18819.0
236,2004,12,22,2,21,18483.0
237,2004,12,22,2,22,18381.0
238,2004,12,22,2,23,17461.0
239,2004,12,23,3,0,16353.0
240,2004,12,21,1,1,18740.0
241,2004,12,21,1,2,18247.0
242,2004,12,21,1,3,17906.0
243,2004,12,21,1,4,17749.0
244,2004,12,21,1,5,17900.0
245,2004,12,21,1,6,18590.0
246,2004,12,21,1,7,19716.0
247,2004,12,21,1,8,20555.0
248,2004,12,21,1,9,20218.0
249,2004,12,21,1,10,19783.0
250,2004,12,21,1,11,19452.0
251,2004,12,21,1,12,18866.0
252,2004,12,21,1,13,18383.0
253,2004,12,21,1,14,17945.0
254,2004,12,21,1,15,17591.0
255,2004,12,21,1,16,17362.0
256,2004,12,21,1,17,17619.0
257,2004,12,21,1,18,18664.0
258,2004,12,21,1,19,19088.0
259,2004,12,21,1,20,18998.0
260,2004,12,21,1,21,18773.0
261,2004,12,21,1,22,18394.0
262,2004,12,21,1,23,17622.0
263,2004,12,22,2,0,16484.0
264,2004,12,20,0,1,19050.0
265,2004,12,20,0,2,18940.0
266,2004,12,20,0,3,19015.0
267,2004,12,20,0,4,19178.0
268,2004,12,20,0,5,19494.0
269,2004,12,20,0,6,20392.0
270,2004,12,20,0,7,21616.0
271,2004,12,20,0,8,22554.0
272,2004,12,20,0,9,22577.0
273,2004,12,20,0,10,22321.0
274,2004,12,20,0,11,22055.0
275,2004,12,20,0,12,21388.0
276,2004,12,20,0,13,21035.0
277,2004,12,20,0,14,20542.0
278,2004,12,20,0,15,20362.0
279,2004,12,20,0,16,20119.0
280,2004,12,20,0,17,20505.0
281,2004,12,20,0,18,21373.0
282,2004,12,20,0,19,22188.0
283,2004,12,20,0,20,22038.0
284,2004,12,20,0,21,21752.0
285,2004,12,20,0,22,21621.0
286,2004,12,20,0,23,20919.0
287,2004,12,21,1,0,19554.0
288,2004,12,19,6,1,14619.0
289,2004,12,19,6,2,14245.0
290,2004,12,19,6,3,14082.0
291,2004,12,19,6,4,14123.0
292,2004,12,19,6,5,14253.0
293,2004,12,19,6,6,14437.0
294,2004,12,19,6,7,15197.0
295,2004,12,19,6,8,16025.0
296,2004,12,19,6,9,16742.0
297,2004,12,19,6,10,17345.0
298,2004,12,19,6,11,17400.0
299,2004,12,19,6,12,17291.0
300,2004,12,19,6,13,17473.0
301,2004,12,19,6,14,17464.0
302,2004,12,19,6,15,17461.0
303,2004,12,19,6,16,17683.0
304,2004,12,19,6,17,18211.0
305,2004,12,19,6,18,19749.0
306,2004,12,19,6,19,20439.0
307,2004,12,19,6,20,20805.0
308,2004,12,19,6,21,20840.0
309,2004,12,19,6,22,20670.0
310,2004,12,19,6,23,20300.0
311,2004,12,20,0,0,19719.0
312,2004,12,18,5,1,16053.0
313,2004,12,18,5,2,15562.0
314,2004,12,18,5,3,15439.0
315,2004,12,18,5,4,15498.0
316,2004,12,18,5,5,15743.0
317,2004,12,18,5,6,16126.0
318,2004,12,18,5,7,16793.0
319,2004,12,18,5,8,17583.0
320,2004,12,18,5,9,18108.0
321,2004,12,18,5,10,18035.0
322,2004,12,18,5,11,17599.0
323,2004,12,18,5,12,17022.0
324,2004,12,18,5,13,16390.0
325,2004,12,18,5,14,15921.0
326,2004,12,18,5,15,15619.0
327,2004,12,18,5,16,15475.0
328,2004,12,18,5,17,16039.0
329,2004,12,18,5,18,17080.0
330,2004,12,18,5,19,17479.0
331,2004,12,18,5,20,17431.0
332,2004,12,18,5,21,17458.0
333,2004,12,18,5,22,17162.0
334,2004,12,18,5,23,16561.0
335,2004,12,19,6,0,15645.0
336,2004,12,17,4,1,15893.0
337,2004,12,17,4,2,15503.0
338,2004,12,17,4,3,15315.0
339,2004,12,17,4,4,15264.0
340,2004,12,17,4,5,15596.0
341,2004,12,17,4,6,16544.0
342,2004,12,17,4,7,18227.0
343,2004,12,17,4,8,19281.0
344,2004,12,17,4,9,19052.0
345,2004,12,17,4,10,18758.0
346,2004,12,17,4,11,18254.0
347,2004,12,17,4,12,17654.0
348,2004,12,17,4,13,17236.0
349,2004,12,17,4,14,16818.0
350,2004,12,17,4,15,16450.0
351,2004,12,17,4,16,16250.0
352,2004,12,17,4,17,16581.0
353,2004,12,17,4,18,17953.0
354,2004,12,17,4,19,18650.0
355,2004,12,17,4,20,18653.0
356,2004,12,17,4,21,18645.0
357,2004,12,17,4,22,18444.0
358,2004,12,17,4,23,17832.0
359,2004,12,18,5,0,16906.0
360,2004,12,16,3,1,17381.0
361,2004,12,16,3,2,17048.0
362,2004,12,16,3,3,16862.0
363,2004,12,16,3,4,16876.0
364,2004,12,16,3,5,17185.0
365,2004,12,16,3,6,18127.0
366,2004,12,16,3,7,19901.0
367,2004,12,16,3,8,20605.0
368,2004,12,16,3,9,20312.0
369,2004,12,16,3,10,19945.0
370,2004,12,16,3,11,19364.0
371,2004,12,16,3,12,18559.0
372,2004,12,16,3,13,17977.0
373,2004,12,16,3,14,17693.0
374,2004,12,16,3,15,17396.0
375,2004,12,16,3,16,17246.0
376,2004,12,16,3,17,17669.0
377,2004,12,16,3,18,18921.0
378,2004,12,16,3,19,19446.0
379,2004,12,16,3,20,19506.0
380,2004,12,16,3,21,19477.0
381,2004,12,16,3,22,19068.0
382,2004,12,16,3,23,18062.0
383,2004,12,17,4,0,16826.0
384,2004,12,15,2,1,17126.0
385,2004,12,15,2,2,16709.0
386,2004,12,15,2,3,16618.0
387,2004,12,15,2,4,16546.0
388,2004,12,15,2,5,16905.0
389,2004,12,15,2,6,17889.0
390,2004,12,15,2,7,19542.0
391,2004,12,15,2,8,20491.0
392,2004,12,15,2,9,20295.0
393,2004,12,15,2,10,19843.0
394,2004,12,15,2,11,19422.0
395,2004,12,15,2,12,19050.0
396,2004,12,15,2,13,18519.0
397,2004,12,15,2,14,18301.0
398,2004,12,15,2,15,17748.0
399,2004,12,15,2,16,17696.0
400,2004,12,15,2,17,18153.0
401,2004,12,15,2,18,19645.0
402,2004,12,15,2,19,20441.0
403,2004,12,15,2,20,20502.0
404,2004,12,15,2,21,20486.0
405,2004,12,15,2,22,20274.0
406,2004,12,15,2,23,19304.0
407,2004,12,16,3,0,18139.0
408,2004,12,14,1,1,16704.0
409,2004,12,14,1,2,16281.0
410,2004,12,14,1,3,16064.0
411,2004,12,14,1,4,16155.0
412,2004,12,14,1,5,16500.0
413,2004,12,14,1,6,17338.0
414,2004,12,14,1,7,18923.0
415,2004,12,14,1,8,19920.0
416,2004,12,14,1,9,19679.0
417,2004,12,14,1,10,19432.0
418,2004,12,14,1,11,19293.0
419,2004,12,14,1,12,19182.0
420,2004,12,14,1,13,19022.0
421,2004,12,14,1,14,18917.0
422,2004,12,14,1,15,18750.0
423,2004,12,14,1,16,18749.0
424,2004,12,14,1,17,19204.0
425,2004,12,14,1,18,20431.0
426,2004,12,14,1,19,20996.0
427,2004,12,14,1,20,20837.0
428,2004,12,14,1,21,20689.0
429,2004,12,14,1,22,20285.0
430,2004,12,14,1,23,19248.0
431,2004,12,15,2,0,18021.0
432,2004,12,13,0,1,14308.0
433,2004,12,13,0,2,14116.0
434,2004,12,13,0,3,14021.0
435,2004,12,13,0,4,14052.0
436,2004,12,13,0,5,14408.0
437,2004,12,13,0,6,15501.0
438,2004,12,13,0,7,17190.0
439,2004,12,13,0,8,18404.0
440,2004,12,13,0,9,18474.0
441,2004,12,13,0,10,18536.0
442,2004,12,13,0,11,18575.0
443,2004,12,13,0,12,18493.0
444,2004,12,13,0,13,18435.0
445,2004,12,13,0,14,18492.0
446,2004,12,13,0,15,18438.0
447,2004,12,13,0,16,18484.0
448,2004,12,13,0,17,18945.0
449,2004,12,13,0,18,20103.0
450,2004,12,13,0,19,20564.0
451,2004,12,13,0,20,20447.0
452,2004,12,13,0,21,20311.0
453,2004,12,13,0,22,19814.0
454,2004,12,13,0,23,18762.0
455,2004,12,14,1,0,17504.0
456,2004,12,12,6,1,14153.0
457,2004,12,12,6,2,13683.0
458,2004,12,12,6,3,13427.0
459,2004,12,12,6,4,13373.0
460,2004,12,12,6,5,13460.0
461,2004,12,12,6,6,13704.0
462,2004,12,12,6,7,14157.0
463,2004,12,12,6,8,14802.0
464,2004,12,12,6,9,15422.0
465,2004,12,12,6,10,15757.0
466,2004,12,12,6,11,15688.0
467,2004,12,12,6,12,15728.0
468,2004,12,12,6,13,15848.0
469,2004,12,12,6,14,15678.0
470,2004,12,12,6,15,15388.0
471,2004,12,12,6,16,15505.0
472,2004,12,12,6,17,16012.0
473,2004,12,12,6,18,16918.0
474,2004,12,12,6,19,17200.0
475,2004,12,12,6,20,17245.0
476,2004,12,12,6,21,16986.0
477,2004,12,12,6,22,16650.0
478,2004,12,12,6,23,15860.0
479,2004,12,13,0,0,14939.0
480,2004,12,11,5,1,13881.0
481,2004,12,11,5,2,13431.0
482,2004,12,11,5,3,13099.0
483,2004,12,11,5,4,13042.0
484,2004,12,11,5,5,13204.0
485,2004,12,11,5,6,13629.0
486,2004,12,11,5,7,14268.0
487,2004,12,11,5,8,15105.0
488,2004,12,11,5,9,15708.0
489,2004,12,11,5,10,16234.0
490,2004,12,11,5,11,16452.0
491,2004,12,11,5,12,16327.0
492,2004,12,11,5,13,16159.0
493,2004,12,11,5,14,16012.0
494,2004,12,11,5,15,15889.0
495,2004,12,11,5,16,15814.0
496,2004,12,11,5,17,16382.0
497,2004,12,11,5,18,17323.0
498,2004,12,11,5,19,17381.0
499,2004,12,11,5,20,17048.0
500,2004,12,11,5,21,16902.0
501,2004,12,11,5,22,16611.0
502,2004,12,11,5,23,15910.0
503,2004,12,12,6,0,14948.0
504,2004,12,10,4,1,13815.0
505,2004,12,10,4,2,13451.0
506,2004,12,10,4,3,13122.0
507,2004,12,10,4,4,13096.0
508,2004,12,10,4,5,13333.0
509,2004,12,10,4,6,14167.0
510,2004,12,10,4,7,15812.0
511,2004,12,10,4,8,16831.0
512,2004,12,10,4,9,16861.0
513,2004,12,10,4,10,16645.0
514,2004,12,10,4,11,16593.0
515,2004,12,10,4,12,16493.0
516,2004,12,10,4,13,16361.0
517,2004,12,10,4,14,16226.0
518,2004,12,10,4,15,16044.0
519,2004,12,10,4,16,15886.0
520,2004,12,10,4,17,16221.0
521,2004,12,10,4,18,17147.0
522,2004,12,10,4,19,17256.0
523,2004,12,10,4,20,17051.0
524,2004,12,10,4,21,16840.0
525,2004,12,10,4,22,16587.0
526,2004,12,10,4,23,15789.0
527,2004,12,11,5,0,14772.0
528,2004,12,9,3,1,14507.0
529,2004,12,9,3,2,14036.0
530,2004,12,9,3,3,13918.0
531,2004,12,9,3,4,13839.0
532,2004,12,9,3,5,14140.0
533,2004,12,9,3,6,14968.0
534,2004,12,9,3,7,16659.0
535,2004,12,9,3,8,17512.0
536,2004,12,9,3,9,17473.0
537,2004,12,9,3,10,17338.0
538,2004,12,9,3,11,17417.0
539,2004,12,9,3,12,17334.0
540,2004,12,9,3,13,17280.0
541,2004,12,9,3,14,17233.0
542,2004,12,9,3,15,17047.0
543,2004,12,9,3,16,17037.0
544,2004,12,9,3,17,17392.0
545,2004,12,9,3,18,18054.0
546,2004,12,9,3,19,18180.0
547,2004,12,9,3,20,17854.0
548,2004,12,9,3,21,17699.0
549,2004,12,9,3,22,17106.0
550,2004,12,9,3,23,16127.0
551,2004,12,10,4,0,14876.0
552,2004,12,8,2,1,13277.0
553,2004,12,8,2,2,12886.0
554,2004,12,8,2,3,12670.0
555,2004,12,8,2,4,12680.0
556,2004,12,8,2,5,12980.0
557,2004,12,8,2,6,13932.0
558,2004,12,8,2,7,15795.0
559,2004,12,8,2,8,16793.0
560,2004,12,8,2,9,16628.0
561,2004,12,8,2,10,16538.0
562,2004,12,8,2,11,16466.0
563,2004,12,8,2,12,16169.0
564,2004,12,8,2,13,15988.0
565,2004,12,8,2,14,15800.0
566,2004,12,8,2,15,15568.0
567,2004,12,8,2,16,15505.0
568,2004,12,8,2,17,15918.0
569,2004,12,8,2,18,17343.0
570,2004,12,8,2,19,17776.0
571,2004,12,8,2,20,17822.0
572,2004,12,8,2,21,17875.0
573,2004,12,8,2,22,17503.0
574,2004,12,8,2,23,16477.0
575,2004,12,9,3,0,15259.0
576,2004,12,7,1,1,13562.0
577,2004,12,7,1,2,13150.0
578,2004,12,7,1,3,12930.0
579,2004,12,7,1,4,12823.0
580,2004,12,7,1,5,12963.0
581,2004,12,7,1,6,13915.0
582,2004,12,7,1,7,15577.0
583,2004,12,7,1,8,16630.0
584,2004,12,7,1,9,16554.0
585,2004,12,7,1,10,16597.0
586,2004,12,7,1,11,16431.0
587,2004,12,7,1,12,16223.0
588,2004,12,7,1,13,16054.0
589,2004,12,7,1,14,15787.0
590,2004,12,7,1,15,15538.0
591,2004,12,7,1,16,15484.0
592,2004,12,7,1,17,15782.0
593,2004,12,7,1,18,16935.0
594,2004,12,7,1,19,17249.0
595,2004,12,7,1,20,17045.0
596,2004,12,7,1,21,16958.0
597,2004,12,7,1,22,16499.0
598,2004,12,7,1,23,15426.0
599,2004,12,8,2,0,14223.0
600,2004,12,6,0,1,13563.0
601,2004,12,6,0,2,13318.0
602,2004,12,6,0,3,13204.0
603,2004,12,6,0,4,13239.0
604,2004,12,6,0,5,13556.0
605,2004,12,6,0,6,14605.0
606,2004,12,6,0,7,16104.0
607,2004,12,6,0,8,17348.0
608,2004,12,6,0,9,17211.0
609,2004,12,6,0,10,17212.0
610,2004,12,6,0,11,17260.0
611,2004,12,6,0,12,17153.0
612,2004,12,6,0,13,16879.0
613,2004,12,6,0,14,16645.0
614,2004,12,6,0,15,16432.0
615,2004,12,6,0,16,16494.0
616,2004,12,6,0,17,16755.0
617,2004,12,6,0,18,17682.0
618,2004,12,6,0,19,17901.0
619,2004,12,6,0,20,17700.0
620,2004,12,6,0,21,17382.0
621,2004,12,6,0,22,16851.0
622,2004,12,6,0,23,15682.0
623,2004,12,7,1,0,14402.0
624,2004,12,5,6,1,13960.0
625,2004,12,5,6,2,13536.0
626,2004,12,5,6,3,13430.0
627,2004,12,5,6,4,13377.0
628,2004,12,5,6,5,13484.0
629,2004,12,5,6,6,13797.0
630,2004,12,5,6,7,14271.0
631,2004,12,5,6,8,14826.0
632,2004,12,5,6,9,15369.0
633,2004,12,5,6,10,15322.0
634,2004,12,5,6,11,14774.0
635,2004,12,5,6,12,14296.0
636,2004,12,5,6,13,14018.0
637,2004,12,5,6,14,13725.0
638,2004,12,5,6,15,13488.0
639,2004,12,5,6,16,13549.0
640,2004,12,5,6,17,14089.0
641,2004,12,5,6,18,15557.0
642,2004,12,5,6,19,16124.0
643,2004,12,5,6,20,16111.0
644,2004,12,5,6,21,16216.0
645,2004,12,5,6,22,15723.0
646,2004,12,5,6,23,14975.0
647,2004,12,6,0,0,14180.0
648,2004,12,4,5,1,15123.0
649,2004,12,4,5,2,14748.0
650,2004,12,4,5,3,14662.0
651,2004,12,4,5,4,14540.0
652,2004,12,4,5,5,14626.0
653,2004,12,4,5,6,15196.0
654,2004,12,4,5,7,15893.0
655,2004,12,4,5,8,16632.0
656,2004,12,4,5,9,17069.0
657,2004,12,4,5,10,16887.0
658,2004,12,4,5,11,16460.0
659,2004,12,4,5,12,15850.0
660,2004,12,4,5,13,15261.0
661,2004,12,4,5,14,14884.0
662,2004,12,4,5,15,14602.0
663,2004,12,4,5,16,14500.0
664,2004,12,4,5,17,14812.0
665,2004,12,4,5,18,16172.0
666,2004,12,4,5,19,16364.0
667,2004,12,4,5,20,16494.0
668,2004,12,4,5,21,16418.0
669,2004,12,4,5,22,16078.0
670,2004,12,4,5,23,15557.0
671,2004,12,5,6,0,14662.0
672,2004,12,3,4,1,15309.0
673,2004,12,3,4,2,14792.0
674,2004,12,3,4,3,14581.0
675,2004,12,3,4,4,14599.0
676,2004,12,3,4,5,14848.0
677,2004,12,3,4,6,15751.0
678,2004,12,3,4,7,17454.0
679,2004,12,3,4,8,18324.0
680,2004,12,3,4,9,18082.0
681,2004,12,3,4,10,17687.0
682,2004,12,3,4,11,17439.0
683,2004,12,3,4,12,16952.0
684,2004,12,3,4,13,16601.0
685,2004,12,3,4,14,16348.0
686,2004,12,3,4,15,16038.0
687,2004,12,3,4,16,15891.0
688,2004,12,3,4,17,16114.0
689,2004,12,3,4,18,17334.0
690,2004,12,3,4,19,17888.0
691,2004,12,3,4,20,17729.0
692,2004,12,3,4,21,17782.0
693,2004,12,3,4,22,17617.0
694,2004,12,3,4,23,16824.0
695,2004,12,4,5,0,15864.0
696,2004,12,2,3,1,15575.0
697,2004,12,2,3,2,15243.0
698,2004,12,2,3,3,15087.0
699,2004,12,2,3,4,15022.0
700,2004,12,2,3,5,15354.0
701,2004,12,2,3,6,16227.0
702,2004,12,2,3,7,18049.0
703,2004,12,2,3,8,18943.0
704,2004,12,2,3,9,18728.0
705,2004,12,2,3,10,18225.0
706,2004,12,2,3,11,17885.0
707,2004,12,2,3,12,17258.0
708,2004,12,2,3,13,16796.0
709,2004,12,2,3,14,16399.0
710,2004,12,2,3,15,15969.0
711,2004,12,2,3,16,15839.0
712,2004,12,2,3,17,16290.0
713,2004,12,2,3,18,17567.0
714,2004,12,2,3,19,18361.0
715,2004,12,2,3,20,18458.0
716,2004,12,2,3,21,18338.0
717,2004,12,2,3,22,18064.0
718,2004,12,2,3,23,17061.0
719,2004,12,3,4,0,16047.0
720,2004,12,1,2,1,14133.0
721,2004,12,1,2,2,13700.0
722,2004,12,1,2,3,13396.0
723,2004,12,1,2,4,13353.0
724,2004,12,1,2,5,13588.0
725,2004,12,1,2,6,14460.0
726,2004,12,1,2,7,16015.0
727,2004,12,1,2,8,16999.0
728,2004,12,1,2,9,17017.0
729,2004,12,1,2,10,17003.0
730,2004,12,1,2,11,17147.0
731,2004,12,1,2,12,16914.0
732,2004,12,1,2,13,16620.0
733,2004,12,1,2,14,16321.0
734,2004,12,1,2,15,15997.0
735,2004,12,1,2,16,15972.0
736,2004,12,1,2,17,16284.0
737,2004,12,1,2,18,17657.0
738,2004,12,1,2,19,18428.0
739,2004,12,1,2,20,18400.0
740,2004,12,1,2,21,18384.0
741,2004,12,1,2,22,18078.0
742,2004,12,1,2,23,17174.0
743,2004,12,2,3,0,16165.0
744,2004,11,30,1,1,14437.0
745,2004,11,30,1,2,14061.0
746,2004,11,30,1,3,13843.0
747,2004,11,30,1,4,13818.0
748,2004,11,30,1,5,14062.0
749,2004,11,30,1,6,14942.0
750,2004,11,30,1,7,16480.0
751,2004,11,30,1,8,17314.0
752,2004,11,30,1,9,17206.0
753,2004,11,30,1,10,17120.0
754,2004,11,30,1,11,17065.0
755,2004,11,30,1,12,16863.0
756,2004,11,30,1,13,16814.0
757,2004,11,30,1,14,16749.0
758,2004,11,30,1,15,16616.0
759,2004,11,30,1,16,16787.0
760,2004,11,30,1,17,17233.0
761,2004,11,30,1,18,18123.0
762,2004,11,30,1,19,18388.0
763,2004,11,30,1,20,18189.0
764,2004,11,30,1,21,17797.0
765,2004,11,30,1,22,17247.0
766,2004,11,30,1,23,16103.0
767,2004,12,1,2,0,14902.0
768,2004,11,29,0,1,14484.0
769,2004,11,29,0,2,14185.0
770,2004,11,29,0,3,14003.0
771,2004,11,29,0,4,14075.0
772,2004,11,29,0,5,14413.0
773,2004,11,29,0,6,15361.0
774,2004,11,29,0,7,16980.0
